path	line	name	visibility	return_type	returns_result	classification	signals
.claude/skills/compute-backend/examples/pool_gpu_module.rs	42	upload_rgba	private	()	false	likely_infallible	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	66	upload_params	private	()	false	likely_infallible	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	81	count_shader_bindings	private	u32	false	likely_infallible	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	96	build_pipeline	private	Option<CachedPipeline>	false	likely_infallible	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	126	execute_batch_impl	private	Result<bool, PilError>	true	ok_result	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	151	execute_batch_impl	private	()	false	likely_infallible	
.claude/skills/compute-backend/examples/pool_gpu_module.rs	181	ensure_init	private	Result<&'static GpuInner, PilError>	true	ok_result	expect,ok_or
pillow-rs/examples/backend_support_matrix.rs	7	main	private	()	false	review_non_result_fallible	expect
pillow-rs/src/checked_dims.rs	94	new	pub	Result<Self, PilError>	true	ok_result	
pillow-rs/src/checked_dims.rs	98	new_with_limit	private	Result<Self, PilError>	true	ok_result	question_operator,checked_arithmetic,ok_or,result_ctor
pillow-rs/src/checked_dims.rs	160	total_pixels	pub	usize	false	likely_infallible	
pillow-rs/src/checked_dims.rs	169	total_bytes	pub	usize	false	likely_infallible	
pillow-rs/src/checked_dims.rs	175	row_stride	pub	usize	false	likely_infallible	
pillow-rs/src/checked_dims.rs	185	alloc_buffer	pub	Vec<u8>	false	likely_infallible	
pillow-rs/src/checked_dims.rs	191	alloc_buffer_fill	pub	Vec<u8>	false	likely_infallible	
pillow-rs/src/checked_dims.rs	201	max_pixels	pub	u64	false	likely_infallible	
pillow-rs/src/checked_dims.rs	210	set_max_pixels	pub	()	false	likely_infallible	
pillow-rs/src/checked_dims.rs	221	valid_dimensions	private	()	false	review_non_result_fallible	unwrap
pillow-rs/src/checked_dims.rs	229	zero_width_rejected	private	()	false	likely_infallible	
pillow-rs/src/checked_dims.rs	234	zero_height_rejected	private	()	false	likely_infallible	
pillow-rs/src/checked_dims.rs	239	zero_channels_rejected	private	()	false	likely_infallible	
pillow-rs/src/checked_dims.rs	244	overflow_rejected	private	()	false	likely_infallible	
pillow-rs/src/checked_dims.rs	250	exceeds_max_pixels	private	()	false	review_non_result_fallible	unwrap
pillow-rs/src/checked_dims.rs	260	alloc_buffer_correct_size	private	()	false	review_non_result_fallible	unwrap
pillow-rs/src/color.rs	35	color_type_to_mode	pub	&'static str	false	likely_infallible	
pillow-rs/src/color.rs	62	parse_color_str	pub	Result<(u8, u8, u8, u8), crate::error::PilError>	true	ok_result	question_operator,map_err
pillow-rs/src/color.rs	75	rgb_to_luma_u8	pub	u8	false	likely_infallible	
pillow-rs/src/color.rs	84	pil_grayscale	pub	Result<image_slash_star::GrayImage, PilError>	true	ok_result	
pillow-rs/src/color.rs	93	pil_grayscale_truncate	pub	Result<image_slash_star::GrayImage, PilError>	true	ok_result	
pillow-rs/src/color.rs	97	pil_grayscale_inner	private	Result<image_slash_star::GrayImage, PilError>	true	ok_result	question_operator,ok_or
pillow-rs/src/color.rs	129	cmyk_to_grayscale	pub	Result<image_slash_star::GrayImage, PilError>	true	ok_result	question_operator,ok_or
pillow-rs/src/color.rs	165	resolve_new_color	pub	Result<(u8, u8, u8, u8), crate::error::PilError>	true	ok_result	
pillow-rs/src/color.rs	229	getcolor	pub	Result<(u8, u8, u8, u8), crate::error::PilError>	true	ok_result	
pillow-rs/src/color.rs	263	palette_getcolor	pub	Option<usize>	false	likely_infallible	
pillow-rs/src/color.rs	288	palette_getcolor_append	pub	Result<usize, String>	true	ok_result	result_ctor
pillow-rs/src/color.rs	327	palette_to_text	pub	String	false	likely_infallible	
pillow-rs/src/color.rs	355	pil_grayscale_alpha	pub	Result<image_slash_star::GrayAlphaImage, PilError>	true	ok_result	question_operator
pillow-rs/src/color.rs	374	muldiv255	pub	u32	false	likely_infallible	
pillow-rs/src/color.rs	383	cmyk_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	416	hsv_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	461	i32_to_l	pub	image_slash_star::GrayImage	false	likely_infallible	
pillow-rs/src/color.rs	477	f32_to_l	pub	image_slash_star::GrayImage	false	likely_infallible	
pillow-rs/src/color.rs	499	rgb_to_hsv	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	554	rgb_to_ycbcr	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	557	make_table	private	[i32; 256]	false	likely_infallible	
pillow-rs/src/color.rs	611	ycbcr_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	722	i_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	739	f_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	757	p_to_rgb	pub	DynamicImage	false	likely_infallible	
pillow-rs/src/color.rs	791	convert_from_nonstandard	pub	Option<DynamicImage>	false	likely_infallible	
pillow-rs/src/color.rs	816	palette_getcolor_validate	pub	Result<usize, String>	true	ok_result	result_ctor
pillow-rs/src/compute/backend_op.rs	45	from_ints	pub	Self	false	likely_infallible	
pillow-rs/src/compute/backend_op.rs	59	backend_name	private	&'static str; /// Returns routing priority; higher values are preferred. fn priority(&self) -> u8; /// Returns whether this backend can execute `op_key`. /// /// CPU backends normally return true for registered operations. GPU and /// SIMD backends should include runtime capability checks. fn supports(&self, op_key: &str) -> bool; /// Executes one operation on this backend. /// /// `explicit_mode` carries Pillow mode tags when [`DynamicImage`] cannot /// represent the logical mode directly. /// /// # Errors /// /// Returns [`PilError`] when the operation is unsupported or execution /// fails. fn execute( &self, op_key: &str, img: &DynamicImage, params: &OpParams<'_>, explicit_mode: Option<&str>, ) -> Result<DynamicImage, PilError>; /// Returns whether this backend can execute an operation batch efficiently. /// /// The default requires every operation key to be supported. Backends with /// batch-level constraints can override this, for example to keep small /// images on CPU when transfer overhead dominates. fn supports_batch(&self, op_keys: &[&str], _pixel_count: u64) -> bool	true	ok_result	
pillow-rs/src/compute/backend_op.rs	62	priority	private	u8; /// Returns whether this backend can execute `op_key`. /// /// CPU backends normally return true for registered operations. GPU and /// SIMD backends should include runtime capability checks. fn supports(&self, op_key: &str) -> bool; /// Executes one operation on this backend. /// /// `explicit_mode` carries Pillow mode tags when [`DynamicImage`] cannot /// represent the logical mode directly. /// /// # Errors /// /// Returns [`PilError`] when the operation is unsupported or execution /// fails. fn execute( &self, op_key: &str, img: &DynamicImage, params: &OpParams<'_>, explicit_mode: Option<&str>, ) -> Result<DynamicImage, PilError>; /// Returns whether this backend can execute an operation batch efficiently. /// /// The default requires every operation key to be supported. Backends with /// batch-level constraints can override this, for example to keep small /// images on CPU when transfer overhead dominates. fn supports_batch(&self, op_keys: &[&str], _pixel_count: u64) -> bool	true	ok_result	
pillow-rs/src/compute/backend_op.rs	68	supports	private	bool; /// Executes one operation on this backend. /// /// `explicit_mode` carries Pillow mode tags when [`DynamicImage`] cannot /// represent the logical mode directly. /// /// # Errors /// /// Returns [`PilError`] when the operation is unsupported or execution /// fails. fn execute( &self, op_key: &str, img: &DynamicImage, params: &OpParams<'_>, explicit_mode: Option<&str>, ) -> Result<DynamicImage, PilError>; /// Returns whether this backend can execute an operation batch efficiently. /// /// The default requires every operation key to be supported. Backends with /// batch-level constraints can override this, for example to keep small /// images on CPU when transfer overhead dominates. fn supports_batch(&self, op_keys: &[&str], _pixel_count: u64) -> bool	true	ok_result	
pillow-rs/src/compute/backend_op.rs	79	execute	private	Result<DynamicImage, PilError>; /// Returns whether this backend can execute an operation batch efficiently. /// /// The default requires every operation key to be supported. Backends with /// batch-level constraints can override this, for example to keep small /// images on CPU when transfer overhead dominates. fn supports_batch(&self, op_keys: &[&str], _pixel_count: u64) -> bool	true	ok_result	
pillow-rs/src/compute/backend_op.rs	92	supports_batch	private	bool	false	likely_infallible	
pillow-rs/src/compute/mod.rs	48	parse	pub	Option<Self>	false	likely_infallible	
pillow-rs/src/compute/mod.rs	67	name	private	"Backend; /// Returns backend preference. Larger values are selected first. fn priority(&self) -> u8; // higher = preferred /// Returns whether this backend can execute one pipeline operation. fn supports(&self, op: &PipelineOp) -> bool; /// Executes a sequence of operations against one image buffer. fn execute_batch( &self, ops: &[PipelineOp], img: &DynamicImage, mode: Option<&str>, ) -> Result<DynamicImage, PilError>; } // ── Modules ──────────────────────────────────────────────────────────────── // AS PER DESIGN — DO NOT REMOVE: // backend_op: BackendOp trait for per-backend capability detection // op_def: define_op! macro — single-definition op registration /// Per-backend capability trait used by operation descriptors. pub mod backend_op; /// Macro-backed operation registration helpers. pub mod op_def; mod pool_cpu; #[cfg(feature = ""gpu"")] mod pool_gpu; mod pool_simd; pub mod registry; pub use pool_cpu::CpuPool; #[cfg(feature = ""gpu"")] pub use pool_gpu::GpuPool; pub use pool_simd::SimdPool; // ── Backend activation ───────────────────────────────────────────────────── static ACTIVE: std::sync::OnceLock<Mutex<HashSet<Backend>>> = std::sync::OnceLock::new(); fn active() -> &'static Mutex<HashSet<Backend>>"	true	ok_result	
pillow-rs/src/compute/mod.rs	69	priority	private	"u8; // higher = preferred /// Returns whether this backend can execute one pipeline operation. fn supports(&self, op: &PipelineOp) -> bool; /// Executes a sequence of operations against one image buffer. fn execute_batch( &self, ops: &[PipelineOp], img: &DynamicImage, mode: Option<&str>, ) -> Result<DynamicImage, PilError>; } // ── Modules ──────────────────────────────────────────────────────────────── // AS PER DESIGN — DO NOT REMOVE: // backend_op: BackendOp trait for per-backend capability detection // op_def: define_op! macro — single-definition op registration /// Per-backend capability trait used by operation descriptors. pub mod backend_op; /// Macro-backed operation registration helpers. pub mod op_def; mod pool_cpu; #[cfg(feature = ""gpu"")] mod pool_gpu; mod pool_simd; pub mod registry; pub use pool_cpu::CpuPool; #[cfg(feature = ""gpu"")] pub use pool_gpu::GpuPool; pub use pool_simd::SimdPool; // ── Backend activation ───────────────────────────────────────────────────── static ACTIVE: std::sync::OnceLock<Mutex<HashSet<Backend>>> = std::sync::OnceLock::new(); fn active() -> &'static Mutex<HashSet<Backend>>"	true	ok_result	
pillow-rs/src/compute/mod.rs	71	supports	private	"bool; /// Executes a sequence of operations against one image buffer. fn execute_batch( &self, ops: &[PipelineOp], img: &DynamicImage, mode: Option<&str>, ) -> Result<DynamicImage, PilError>; } // ── Modules ──────────────────────────────────────────────────────────────── // AS PER DESIGN — DO NOT REMOVE: // backend_op: BackendOp trait for per-backend capability detection // op_def: define_op! macro — single-definition op registration /// Per-backend capability trait used by operation descriptors. pub mod backend_op; /// Macro-backed operation registration helpers. pub mod op_def; mod pool_cpu; #[cfg(feature = ""gpu"")] mod pool_gpu; mod pool_simd; pub mod registry; pub use pool_cpu::CpuPool; #[cfg(feature = ""gpu"")] pub use pool_gpu::GpuPool; pub use pool_simd::SimdPool; // ── Backend activation ───────────────────────────────────────────────────── static ACTIVE: std::sync::OnceLock<Mutex<HashSet<Backend>>> = std::sync::OnceLock::new(); fn active() -> &'static Mutex<HashSet<Backend>>"	true	ok_result	
